City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Guerrero Negro,MX,27.9769,-114.0611,67.78,85,14,10.96,few clouds
275,Faya,SA,18.3851,42.4509,81.12,34,99,15.57,overcast clouds
276,Kemijarvi,FI,66.7131,27.4306,64.72,76,72,7.07,broken clouds
277,Beringovskiy,RU,63.05,179.3167,46.9,92,100,11.88,light rain
278,Swift Current,CA,50.2834,-107.8014,61.61,88,0,5.75,clear sky
279,Iqaluit,CA,63.7506,-68.5145,38.93,93,75,4.61,mist
280,Simpang,ID,-1.2667,104.0833,76.06,85,94,3.22,overcast clouds
281,Aurangabad,IN,19.8833,75.3333,72.64,86,100,15.88,light rain
282,Severo-Kurilsk,RU,50.6789,156.125,58.8,76,94,7.9,overcast clouds
283,Anloga,GH,5.7947,0.8973,79.77,72,69,15.52,broken clouds
284,Cockburn Town,TC,21.4612,-71.1419,81.77,80,50,16.6,scattered clouds
285,Mount Isa,AU,-20.7333,139.5,51.57,50,0,6.91,clear sky
286,Amapa,BR,1.0,-52.0,82.51,73,70,1.86,broken clouds
287,Cabaiguan,CU,22.0789,-79.4992,80.49,79,12,4.23,few clouds
288,Bilibino,RU,68.0546,166.4372,39.9,91,99,2.8,overcast clouds
289,Ilulissat,GL,69.2167,-51.1,41.02,93,100,3.44,fog
290,Fergus Falls,US,46.283,-96.0776,74.16,87,0,10.36,clear sky
291,Kamenka,RU,51.3223,42.7678,84.97,36,98,13.29,overcast clouds
292,Mlowo,TZ,-9.0,32.9833,73.11,31,29,6.93,scattered clouds
293,Clyde River,CA,70.4692,-68.5914,52.03,62,0,8.05,clear sky
294,Qobustan,AZ,40.0824,49.412,84.87,41,0,4.97,clear sky
295,Srednekolymsk,RU,67.45,153.6833,53.19,60,83,10.09,broken clouds
296,Mayumba,GA,-3.432,10.6554,74.3,76,100,9.31,overcast clouds
297,Marang,MY,5.2056,103.2059,82.31,79,100,3.38,overcast clouds
298,Zhanaozen,KZ,43.3,52.8,95.16,11,0,9.04,clear sky
299,Noumea,NC,-22.2763,166.4572,77.0,99,92,6.13,overcast clouds
300,Narsaq,GL,60.9167,-46.05,48.42,73,56,5.84,broken clouds
301,Mareeba,AU,-17.0,145.4333,59.72,85,6,2.82,clear sky
302,Coihaique,CL,-45.5752,-72.0662,28.35,93,100,3.44,light snow
303,Dubbo,AU,-32.25,148.6167,41.13,93,0,8.05,clear sky
304,Ust-Koksa,RU,50.2696,85.6108,59.38,88,36,2.01,scattered clouds
305,Ati,TD,13.2154,18.3353,99.19,24,66,9.46,broken clouds
306,Knysna,ZA,-34.0363,23.0471,59.63,77,61,10.02,moderate rain
307,Buala,SB,-8.145,159.5921,79.14,82,92,4.0,light rain
308,Portland,US,45.5234,-122.6762,59.52,88,0,1.01,clear sky
309,Jalingo,NG,8.8833,11.3667,84.24,64,87,8.14,overcast clouds
310,Weligama,LK,5.9667,80.4167,79.97,87,100,11.81,overcast clouds
311,San-Pedro,CI,4.7485,-6.6363,79.75,64,80,8.5,broken clouds
312,Lieksa,FI,63.3167,30.0167,66.97,71,90,7.61,light rain
313,Kousseri,CM,12.0769,15.0306,94.96,41,20,18.41,few clouds
314,Santana,BR,-0.0583,-51.1817,84.38,84,40,2.3,scattered clouds
315,Ngaoundere,CM,7.3167,13.5833,73.27,84,84,3.67,moderate rain
316,Sibolga,ID,1.7427,98.7792,76.69,89,100,2.28,light rain
317,Najran,SA,17.4924,44.1277,90.25,16,100,4.74,light rain
318,Meulaboh,ID,4.1363,96.1285,78.71,83,100,1.14,overcast clouds
319,Gao,ML,16.6362,1.637,101.34,25,50,11.95,scattered clouds
320,Moa,CU,20.6569,-74.9403,85.39,67,91,7.4,overcast clouds
321,Coffs Harbour,AU,-30.3,153.1333,57.13,76,86,16.11,overcast clouds
322,Kalmunai,LK,7.4167,81.8167,86.07,58,96,7.87,overcast clouds
323,North Bend,US,43.4065,-124.2243,55.17,99,75,3.44,broken clouds
324,Mahibadhoo,MV,3.7833,72.9667,82.27,76,100,10.8,overcast clouds
325,Buluang,PH,13.3068,123.3425,79.38,90,100,1.48,moderate rain
326,Mezen,RU,65.8522,44.24,75.99,36,39,3.91,scattered clouds
327,Benguela,AO,-12.5763,13.4055,73.18,74,28,7.31,scattered clouds
328,Rwamagana,RW,-1.9487,30.4347,76.44,39,95,3.65,overcast clouds
329,San Andres,CO,12.5847,-81.7006,82.42,89,75,12.66,broken clouds
330,Labrea,BR,-7.2586,-64.7981,87.85,53,5,1.25,clear sky
331,Olga,RU,43.7444,135.2892,62.46,94,87,1.88,moderate rain
332,Joshimath,IN,30.5667,79.5667,71.82,92,88,1.19,overcast clouds
333,Pinega,RU,64.7001,43.3936,79.75,30,93,5.97,overcast clouds
334,Teguldet,RU,57.3064,88.1667,73.02,71,50,4.85,scattered clouds
335,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,100,6.91,mist
336,Pitimbu,BR,-7.4706,-34.8086,81.19,69,5,17.6,clear sky
337,Sukhobuzimskoye,RU,56.5,93.2728,63.43,86,15,3.65,light rain
338,Saurimo,AO,-9.6608,20.3916,86.32,28,0,0.0,clear sky
339,Kaitangata,NZ,-46.2817,169.8464,39.94,83,91,3.22,overcast clouds
340,Namibe,AO,-15.1961,12.1522,72.23,68,40,11.5,scattered clouds
341,Puerto Escondido,MX,15.85,-97.0667,76.03,69,0,10.36,clear sky
342,Qasigiannguit,GL,68.8193,-51.1922,41.25,83,91,4.88,overcast clouds
343,Mago,RU,53.2514,140.1822,70.02,81,7,2.73,clear sky
344,Humberto De Campos,BR,-2.5983,-43.4611,86.63,54,66,5.39,broken clouds
345,Bengkulu,ID,-3.8004,102.2655,76.19,86,99,3.98,overcast clouds
346,Tazovskiy,RU,67.4667,78.7,55.45,78,76,5.12,light rain
