City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
612,Guasdualito,VE,75.16,light intensity drizzle,7.2424,-70.7324,Hotel Cuibas
613,Ndjole,GA,87.64,overcast clouds,-0.1783,10.7649,Motel Kédyann
616,Sangmelima,CM,76.23,light rain,2.9333,11.9833,gamestar hotel
617,Iwaki,JP,76.77,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
618,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
619,El Cope,PA,72.73,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
621,Pathein,MM,76.78,overcast clouds,16.7833,94.7333,Pathein Hotel
623,Aksaray,TR,83.86,few clouds,38.3726,34.0254,Kuzucular Park Hotel
624,Sola,VU,81.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
626,Gorontalo,ID,75.63,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
628,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
631,Upata,VE,79.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
633,Tiarei,PF,71.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
